F1,1,2,12,29-11-2022,408.0
F1,3,2,8,29-11-2022,160.0
F1,2,2,3,29-11-2022,195.0
B1,3,2,14,29-11-2022,280.0
B1,2,2,2,29-11-2022,130.0
F1,1,2,2,29-11-2022,68.0
F1,3,2,4,29-11-2022,80.0
F1,2,2,4,29-11-2022,260.0
F1,1,2,4,29-11-2022,136.0
B1,3,2,4,29-11-2022,80.0
B1,1,2,5,29-11-2022,170.0
F1,1,2,1,29-11-2022,34.0
F1,2,2,2,29-11-2022,130.0
F1,1,2,5,29-11-2022,170.0
F1,2,2,10,29-11-2022,650.0
F1,1,2,10,30-11-2022,340.0
F1,2,2,5,30-11-2022,325.0
F1,1,2,5,30-11-2022,170.0
F1,2,2,7,30-11-2022,455.0
F1,3,2,5,30-11-2022,100.0
F1,1,2,5,30-11-2022,170.0
F1,2,2,10,30-11-2022,650.0
F1,2,2,2,30-11-2022,130.0
F1,1,2,4,30-11-2022,136.0
B0000001,1,2,10,30-11-2022,340.0
B0000001,2,2,5,30-11-2022,325.0
B0000001,3,2,1,30-11-2022,20.0
F0000001,1,2,1,30-11-2022,34.0
F0000001,3,2,1,30-11-2022,20.0
F0000002,1,2,2,30-11-2022,68.0
F0000002,2,2,2,30-11-2022,130.0
F0000003,1,2,10,30-11-2022,340.0
F0000003,3,2,1,30-11-2022,20.0
F0000004,1,2,2,30-11-2022,68.0
F0000004,2,2,2,30-11-2022,130.0
B0000002,1,2,50,30-11-2022,1700.0
B0000002,2,2,50,30-11-2022,3250.0
B0000003,1,2,2,30-11-2022,68.0
B0000003,2,2,2,30-11-2022,130.0
B0000004,3,2,2,01-12-2022,40.0
F0000005,1,2,2,01-12-2022,68.0
B0000005,1,2,1,01-12-2022,34.0
